Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,ECNFee,P / L,
11:19:27,ORCL,SS,138.77,77,SMRT,BEST,IB,Short,260707020145.0,0,2.31,
11:19:27,ORCL,SS,138.795,1,SMRT,BEST,IB,Short,260707020145.0,0,0.06,
11:14:44,SMR,S,8.835,169,SMRT,BEST,IB,Margin,260707019720.0,0,13.04,
11:14:44,SMR,S,8.835,591,SMRT,BEST,IB,Margin,260707019720.0,0,45.60,
11:14:44,SMR,S,8.835,9,SMRT,BEST,IB,Margin,260707019720.0,0,0.69,
10:59:19,ORCL,B,138.74,39,SMRT,BEST,IB,Margin,260707018409.0,0,0.00,
10:59:19,ORCL,B,138.74,39,SMRT,BEST,IB,Margin,260707018409.0,0,0.00,
10:56:33,SMR,S,8.8405,769,SMRT,BEST,IB,Margin,260707018228.0,0,63.57,
10:46:53,SMR,B,8.7576,616,SMRT,BEST,IB,Margin,260707017296.0,0,0.00,
10:46:53,SMR,B,8.758,922,SMRT,BEST,IB,Margin,260707017296.0,0,0.00,
10:33:27,NVDA,B,191.955,100,SMRT,BEST,IB,Margin,260707015810.0,0,-15.08,
10:33:27,NVDA,B,191.955,455,SMRT,BEST,IB,Margin,260707015810.0,0,-68.63,
10:32:28,NVDA,SS,191.8,25,SMRT,BEST,IB,Short,260707015666.0,0,0.00,
10:32:28,NVDA,SS,191.8015,75,SMRT,BEST,IB,Short,260707015666.0,0,0.00,
10:32:28,NVDA,SS,191.8,100,SMRT,NYSE,IB,Short,260707015666.0,0,0.00,
10:32:28,NVDA,SS,191.8048,155,SMRT,BEST,IB,Short,260707015666.0,0,0.00,
10:32:28,NVDA,SS,191.8045,100,SMRT,BEST,IB,Short,260707015666.0,0,0.00,
10:32:28,NVDA,SS,191.81,100,SMRT,BEST,IB,Short,260707015666.0,0,0.00,
10:30:03,NVDA,B,191.945,73,SMRT,BEST,IB,Margin,260707015401.0,0,12.10,
10:30:03,NVDA,B,191.945,123,SMRT,BEST,IB,Margin,260707015401.0,0,20.38,
10:27:51,NVDA,B,191.8,196,SMRT,NASD,IB,Margin,260707015116.0,0,60.90,
10:22:21,NVDA,SS,192.11,200,SMRT,BEST,IB,Short,260707014301.0,0,0.00,
10:22:21,NVDA,SS,192.11,100,SMRT,ARCA,IB,Short,260707014301.0,0,0.00,
10:22:21,NVDA,SS,192.113,92,SMRT,BEST,IB,Short,260707014301.0,0,0.00,
10:21:20,MSFT,S,394.58,40,SMRT,BEST,IB,Margin,260707014212.0,0,20.25,
10:21:02,MSFT,S,394.785,40,SMRT,BEST,IB,Margin,260707014162.0,0,28.45,
10:20:20,MSFT,S,395.225,19,SMRT,BEST,IB,Margin,260707014026.0,0,21.87,
10:18:24,MSFT,S,394.26,24,SMRT,BEST,IB,Margin,260707013717.0,0,4.47,
10:17:06,MSFT,B,394.09,23,SMRT,MEMX,IB,Margin,260707013583.0,0,0.00,
10:17:06,MSFT,B,394.07,100,SMRT,BEST,IB,Margin,260707013583.0,0,0.00,
10:10:22,TSLA,B,411.155,60,SMRT,BEST,IB,Margin,260707012428.0,0,103.50,
10:09:43,TSLA,B,411.89,60,SMRT,BEST,IB,Margin,260707012337.0,0,59.40,
10:09:02,SPCX,B,152.6,24,SMRT,BEST,IB,Margin,260707012245.0,0,41.46,
10:09:01,TSLA,B,411.82,19,SMRT,BEST,IB,Margin,260707012243.0,0,20.14,
10:09:01,TSLA,B,411.82,60,SMRT,BEST,IB,Margin,260707012243.0,0,63.60,
10:09:01,TSLA,B,411.815,21,SMRT,BEST,IB,Margin,260707012243.0,0,22.37,
10:09:01,TSLA,B,411.815,19,SMRT,BEST,IB,Margin,260707012243.0,0,20.23,
10:07:49,TSLA,SS,412.88,239,SMRT,BEST,IB,Short,260707012030.0,0,0.00,
10:07:13,TSLA,S,414.14,200,SMRT,BEST,IB,Margin,260707011929.0,0,-118.78,
10:07:13,TSLA,S,414.14,6,SMRT,BEST,IB,Margin,260707011929.0,0,-3.56,
10:04:45,TSLA,S,412.5203,2,SMRT,BEST,IB,Margin,260707011589.0,0,-4.43,
10:04:45,TSLA,S,412.52,80,SMRT,BEST,IB,Margin,260707011589.0,0,-177.11,
10:04:45,TSLA,S,412.53,29,SMRT,BEST,IB,Margin,260707011589.0,0,-63.91,
10:04:45,TSLA,S,412.56,19,SMRT,BEST,IB,Margin,260707011589.0,0,-41.30,
10:04:45,TSLA,S,412.61,76,SMRT,BEST,IB,Margin,260707011589.0,0,-161.42,
10:03:21,TSLA,B,414.45,24,SMRT,BEST,IB,Margin,260707011369.0,0,0.00,
10:03:21,TSLA,B,414.44,76,SMRT,BEST,IB,Margin,260707011369.0,0,0.00,
10:03:21,TSLA,B,414.44,24,SMRT,BEST,IB,Margin,260707011369.0,0,0.00,
